date,week,coral_ID,treatment_temp,ambient_temp,Fo_1,Fm_1,Fv/Fm_1,Fo_2,Fm_2,Fv/Fm_2,Fo_3,Fm_3,Fv/Fm_3,,,,,,,,,,,,
7/11/22,3,MAT,28,28,227,497,0.543,193,540,0.642,255,571,0.553,,,,,,,,,,,,
7/11/22,3,RIP,28,28,396,664,0.403,386,684,0.435,247,516,0.521,,,,,,,,,,,,
7/11/22,3,MAR,28,28,255,478,0.466,238,481,0.505,317,470,0.325,,,,,,,,,,,,
7/11/22,3,NCR,28,28,130,385,0.662,137,438,0.687,135,440,0.693,,,,,,,,,,,,
7/11/22,3,RIS,28,28,480,562,0.145,345,413,0.164,320,378,0.153,,,,,,,,,,,,
7/11/22,3,RIU,28,28,361,431,0.162,367,419,0.124,314,413,0.239,,,,,,,,,,,,
7/11/22,3,NCO,28,28,232,650,0.643,183,529,0.654,215,609,0.646,,,,,,,,,,,,
7/11/22,3,RIQ,28,28,308,504,0.388,377,555,0.32,352,504,0.301,,,,,,,,,,,,
7/11/22,3,MAU,28,28,211,341,0.381,209,498,0.58,263,604,0.564,,,,,,,,,,,,
7/11/22,3,MAP,28,28,86,130,0.338,87,142,0.387,60,114,0.473,,,,,,,,,,,,
7/11/22,3,NCU,28,28,154,449,0.657,143,416,0.656,128,375,0.658,,,,,,,,,,,,
7/11/22,3,MAQ,28,28,155,286,0.458,53,117,0.547,160,353,0.546,,,,,,,,,,,,
7/11/22,3,RIO,28,28,360,528,0.318,370,496,0.254,296,553,0.464,,,,,,,,,,,,
7/11/22,3,RIT,28,28,551,774,0.288,458,657,0.302,249,441,0.435,,,,,,,,,,,,
7/11/22,3,RIL,22,22,362,386,0.062,146,202,0.277,388,537,0.277,,,,,,,,,,,,
7/11/22,3,MAM,22,22,44,157,0.719,57,154,0.629,123,272,0.547,,,,,,,,,,,,
7/11/22,3,NCK,22,22,214,576,0.628,146,409,0.643,163,424,0.615,,,,,,,,,,,,
7/11/22,3,NCJ,22,22,224,702,0.68,200,671,0.701,191,627,0.695,,,,,,,,,,,,
7/11/22,3,RIK,22,22,248,827,0.7,159,479,0.668,255,786,0.675,,,,,,,,,,,,
7/11/22,3,RIN,22,22,150,308,0.512,90,187,0.518,89,181,0.508,,,,,,,,,,,,
7/11/22,3,MAH,22,22,159,474,0.664,189,508,0.627,189,531,0.644,,,,,,,,,,,,
7/11/22,3,NCN,22,22,178,520,0.657,246,693,0.645,205,582,0.647,,,,,,,,,,,,
7/11/22,3,NCH,22,22,281,729,0.614,235,648,0.637,221,643,0.656,,,,,,,,,,,,
